req_name,req_type,city,explain
Litter Basket Maintenance,Non-Human,Boston,
Missed Trash or Recycling,Non-Human,Boston,
Recycling Cart Return,Non-Human,Boston,
Schedule a Bulk Item Pickup,Non-Human,Boston,
Sidewalk Cover / Manhole,Non-Human,Boston,
Sticker Request,Non-Human,Boston,
Street Light Knock Downs,Non-Human,Boston,
Abandoned Vehicle Complaint,Human,Chicago,
Affordable Rental Housing List,Human,Chicago,
Alley Grading-Unimproved,Non-Human,Chicago,
Animal Business Complaint,Human,Chicago,
CDOT Construction Complaints,Non-Human,Chicago,
Check for Leak,Non-Human,Chicago,
Crisis Referral,Other,Chicago,
Fly Dump (Tires),Non-Human,Chicago,
Missing Lid/Grate/Cover,Non-Human,Chicago,
Request Water Shut-Off Occupied Building,Non-Human,Chicago,
Request Water Shut-off Vacant Building,Non-Human,Chicago,
Shelter Request,Human,Chicago,
"Sign - Loading or Standing Zone (New Installation, Amendment, Removal)",Human,Chicago,
Street Paint Marking Maintenance,Non-Human,Chicago,
Tree Emergency,Non-Human,Chicago,
Unwanted Animal,Non-Human,Chicago,
Wildlife Assistance in Living Quarters,Non-Human,Chicago,
Wire Down,Non-Human,Chicago,
Blocked Driveway & Illegal Parking,Human,San Francisco,
Blocked Pedestrian Walkway,Non-Human,San Francisco,
